,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,"Bitcoin
BTC","$105,294.58",0.13%,3.01%,0.56%,"$2,087,203,986,424","$52,209,585,254
495,711 BTC","19,817,259 BTC",
,2,"Ethereum
ETH","$3,265.96",0.00%,5.97%,1.32%,"$393,601,705,965","$25,000,647,122
7,658,330 ETH","120,516,309 ETH",
,3,"XRP
XRP",$3.12,0.86%,3.32%,1.17%,"$179,948,632,972","$6,203,441,762
1,979,582,042 XRP","57,641,211,234 XRP",
,4,"Tether
USDT",$0.9999,0.00%,0.01%,0.04%,"$139,404,193,999","$102,081,750,415
102,057,197,546 USDT","139,405,758,247 USDT",
,5,"Solana
SOL",$239.14,0.27%,7.10%,3.50%,"$116,400,133,287","$6,044,709,644
25,276,426 SOL","486,736,255 SOL",
,6,"BNB
BNB",$680.06,0.03%,2.98%,0.50%,"$96,895,279,554","$1,623,131,737
2,386,752 BNB","142,480,735 BNB",
,7,"USDC
USDC",$1.00,0.01%,0.00%,0.00%,"$53,110,521,926","$9,887,911,281
9,887,063,757 USDC","53,105,969,660 USDC",
,8,"Dogecoin
DOGE",$0.3336,0.09%,4.87%,4.05%,"$49,317,292,059","$1,861,938,818
5,581,641,217 DOGE","147,841,286,384 DOGE",
,9,"Cardano
ADA",$0.9647,0.31%,6.38%,0.56%,"$33,943,985,667","$810,588,680
840,244,488 ADA","35,185,844,017 ADA",
,10,"TRON
TRX",$0.2525,0.44%,6.76%,2.04%,"$21,745,351,389","$659,509,524
2,612,137,358 TRX","86,127,406,286 TRX",
,11,"Chainlink
LINK",$24.71,0.06%,10.27%,1.20%,"$15,766,713,003","$781,424,368
31,625,290 LINK","638,099,970 LINK",
,12,"Avalanche
AVAX",$34.37,0.42%,7.47%,1.88%,"$14,150,882,918","$418,976,089
12,188,915 AVAX","411,679,593 AVAX",
,13,"Stellar
XLM",$0.4378,0.54%,14.24%,3.48%,"$13,372,068,945","$597,430,246
1,364,635,563 XLM","30,544,152,980 XLM",
,14,"Sui
SUI",$4.12,0.17%,13.20%,3.93%,"$12,401,573,301","$1,749,397,841
424,537,595 SUI","3,009,569,342 SUI",
,15,"Hedera
HBAR",$0.3173,0.61%,7.66%,0.63%,"$12,143,964,210","$437,527,581
1,378,717,570 HBAR","38,267,523,179 HBAR",
,16,"Toncoin
TON",$4.80,0.24%,0.12%,5.36%,"$11,945,264,390","$177,248,386
37,015,308 TON","2,489,595,125 TON",
,17,"Shiba Inu
SHIB",$0.00001874,0.03%,3.70%,5.43%,"$11,042,674,290","$332,664,505
17,783,113,657,028 SHIB","589,254,022,224,998 SHIB",
,18,"Litecoin
LTC",$128.96,0.17%,15.63%,13.03%,"$9,733,604,095","$1,787,826,241
13,839,777 LTC","75,478,325 LTC",
,19,"Polkadot
DOT",$6.14,0.27%,10.44%,1.84%,"$9,479,587,582","$257,051,609
41,867,625 DOT","1,544,000,529 DOT",
,20,"UNUS SED LEO
LEO",$9.77,0.33%,0.39%,0.35%,"$9,032,822,577","$601,277
61,555 LEO","924,219,190 LEO",
,21,"Hyperliquid
HYPE",$26.89,0.23%,19.81%,15.52%,"$8,979,619,702","$314,968,752
11,776,525 HYPE","333,928,180 HYPE",
,22,"Bitcoin Cash
BCH",$436.88,0.06%,7.00%,0.85%,"$8,660,164,112","$305,714,611
700,343 BCH","19,822,772 BCH",
,23,"Bitget Token
BGB",$6.96,0.29%,3.70%,2.54%,"$8,347,564,158","$264,792,213
38,067,530 BGB","1,200,000,000 BGB",
,24,"Uniswap
UNI",$12.15,0.60%,4.70%,3.31%,"$7,294,678,000","$341,473,532
28,073,911 UNI","600,518,038 UNI",
,25,"Ethena USDe
USDe",$1.00,0.00%,0.03%,0.16%,"$5,914,957,023","$142,624,849
142,437,284 USDE","5,907,178,310 USDe",
